Date,Venue,Home_Team,Away_Team,Home_Score,Away_Score,Home_Odds,Away_Odds
21/04/14,MCG,Geelong,Hawthorn,106,87,2.52,1.52
20/04/14,Etihad Stadium,Western Bulldogs,Carlton,91,119,1.77,2.02
20/04/14,MCG,Melbourne,Gold Coast,78,86,3.09,1.37
20/04/14,Adelaide Oval,Adelaide,GWS Giants,137,72,1.12,6.19
19/04/14,Etihad Stadium,Essendon,St Kilda,65,81,1.11,6.45
19/04/14,Domain Stadium,West Coast,Port Adelaide,56,70,1.84,1.93
19/04/14,SCG,Sydney,Fremantle,92,75,2.4,1.56
19/04/14,MCG,Collingwood,North Melbourne,93,58,1.86,1.91
17/04/14,Gabba,Brisbane,Richmond,63,106,4.45,1.21
13/04/14,Domain Stadium,Fremantle,Essendon,113,60,1.86,1.92
13/04/14,Etihad Stadium,St Kilda,Adelaide,50,136,2.2,1.67
13/04/14,SCG,Sydney,North Melbourne,48,91,1.4,2.93
12/04/14,Simonds Stadium,Geelong,West Coast,107,32,1.16,5.07
12/04/14,Metricon Stadium,Gold Coast,Hawthorn,49,148,4.38,1.21
12/04/14,StarTrack Oval Canberra,GWS Giants,Western Bulldogs,83,110,2.49,1.53
12/04/14,Adelaide Oval,Port Adelaide,Brisbane,159,46,1.13,5.83
12/04/14,MCG,Carlton,Melbourne,58,81,1.15,5.18
11/04/14,MCG,Richmond,Collingwood,72,110,2.63,1.48
06/04/14,MCG,Essendon,Carlton,138,57,1.43,2.81
06/04/14,Etihad Stadium,North Melbourne,Port Adelaide,97,90,2.07,1.74
06/04/14,Spotless Stadium,GWS Giants,Melbourne,79,47,1.32,3.42
05/04/14,MCG,Collingwood,Geelong,76,87,2.36,1.57
05/04/14,Domain Stadium,West Coast,St Kilda,83,58,1.05,10.78
05/04/14,Metricon Stadium,Gold Coast,Brisbane,114,61,1.7,2.12
05/04/14,Adelaide Oval,Adelaide,Sydney,71,134,1.99,1.78
05/04/14,Etihad Stadium,Western Bulldogs,Richmond,100,98,2.99,1.39
04/04/14,MCG,Hawthorn,Fremantle,137,79,1.65,2.19
30/03/14,Etihad Stadium,Western Bulldogs,North Melbourne,54,83,3.21,1.35
30/03/14,MCG,Melbourne,West Coast,30,123,8.29,1.08
30/03/14,Gabba,Brisbane,Geelong,68,93,3.6,1.29
29/03/14,Domain Stadium,Fremantle,Gold Coast,87,39,1.08,7.62
29/03/14,ANZ Stadium,Sydney,Collingwood,69,89,1.43,2.81
29/03/14,Adelaide Oval,Port Adelaide,Adelaide,127,73,1.69,2.12
29/03/14,Etihad Stadium,St Kilda,GWS Giants,95,88,1.73,2.07
28/03/14,Etihad Stadium,Essendon,Hawthorn,86,90,2.67,1.46
27/03/14,MCG,Richmond,Carlton,98,86,1.53,2.47
23/03/14,Domain Stadium,West Coast,Western Bulldogs,134,69,1.2,4.57
22/03/14,Etihad Stadium,St Kilda,Melbourne,68,51,2.2,1.66
22/03/14,Aurora Stadium,Hawthorn,Brisbane,139,91,1.07,8.28
21/03/14,Etihad Stadium,North Melbourne,Essendon,60,99,1.45,2.69
20/03/14,Simonds Stadium,Geelong,Adelaide,119,81,1.33,3.29
16/03/14,Etihad Stadium,Carlton,Port Adelaide,87,120,1.62,2.24
15/03/14,Metricon Stadium,Gold Coast,Richmond,87,69,2.66,1.47
15/03/14,Spotless Stadium,GWS Giants,Sydney,99,67,10.17,1.05
14/03/14,Etihad Stadium,Collingwood,Fremantle,46,116,2.31,1.6
28/09/13,MCG,Hawthorn,Fremantle,77,62,1.61,2.31
21/09/13,Domain Stadium,Fremantle,Sydney,99,74,1.29,3.6
20/09/13,MCG,Hawthorn,Geelong,102,97,1.38,3.02
14/09/13,ANZ Stadium,Sydney,Carlton,86,62,1.35,3.19
13/09/13,MCG,Geelong,Port Adelaide,96,80,1.21,4.38
08/09/13,MCG,Richmond,Carlton,96,116,1.47,2.67
07/09/13,MCG,Collingwood,Port Adelaide,63,87,1.21,4.43
07/09/13,Simonds Stadium,Geelong,Fremantle,72,87,1.34,3.29
06/09/13,MCG,Hawthorn,Sydney,105,51,1.57,2.38
01/09/13,Etihad Stadium,Western Bulldogs,Melbourne,107,87,1.08,7.84
01/09/13,MCG,Collingwood,North Melbourne,114,125,1.62,2.27
01/09/13,Metricon Stadium,Gold Coast,GWS Giants,146,63,1.09,7.35
31/08/13,Domain Stadium,West Coast,Adelaide,43,129,1.87,1.9
31/08/13,MCG,Essendon,Richmond,65,104,2.86,1.42
31/08/13,AAMI Stadium,Port Adelaide,Carlton,103,104,1.88,1.87
31/08/13,Simonds Stadium,Geelong,Brisbane,112,111,1.04,10.44
31/08/13,Etihad Stadium,St Kilda,Fremantle,112,41,1.83,2.1
30/08/13,ANZ Stadium,Sydney,Hawthorn,100,112,3.02,1.38
25/08/13,Gabba,Brisbane,Western Bulldogs,100,93,1.54,2.44
25/08/13,Spotless Stadium,GWS Giants,Richmond,42,163,16.89,1.01
25/08/13,Etihad Stadium,St Kilda,Gold Coast,116,70,1.74,2.06
24/08/13,MCG,Carlton,Essendon,76,82,1.41,2.86
24/08/13,Domain Stadium,Fremantle,Port Adelaide,134,60,1.16,5.17
24/08/13,Simonds Stadium,Geelong,Sydney,92,48,1.46,2.71
24/08/13,Etihad Stadium,North Melbourne,Hawthorn,103,117,3.28,1.34
24/08/13,AAMI Stadium,Adelaide,Melbourne,120,52,1.02,15.5
23/08/13,MCG,Collingwood,West Coast,101,39,1.13,5.87
18/08/13,Etihad Stadium,Western Bulldogs,Adelaide,131,114,2.08,1.72
18/08/13,SCG,Sydney,St Kilda,118,59,1.02,14.85
18/08/13,MCG,Melbourne,Fremantle,38,133,16.1,1.02
17/08/13,Gabba,Brisbane,GWS Giants,123,63,1.03,12.64
17/08/13,Domain Stadium,West Coast,Geelong,41,107,2.65,1.48
17/08/13,Etihad Stadium,Essendon,North Melbourne,70,115,2.73,1.45
17/08/13,AAMI Stadium,Port Adelaide,Gold Coast,113,96,1.2,4.56
17/08/13,MCG,Richmond,Carlton,96,106,1.3,3.52
16/08/13,MCG,Hawthorn,Collingwood,119,84,1.53,2.48
11/08/13,Domain Stadium,Fremantle,GWS Giants,157,44,1.01,18.91
11/08/13,AAMI Stadium,Adelaide,North Melbourne,79,70,2.04,1.75
11/08/13,Etihad Stadium,Essendon,West Coast,67,120,1.42,2.86
10/08/13,Metricon Stadium,Gold Coast,Melbourne,90,77,1.12,6.41
10/08/13,ANZ Stadium,Sydney,Collingwood,71,100,1.41,2.86
10/08/13,Etihad Stadium,Carlton,Western Bulldogs,89,117,1.34,3.26
10/08/13,Simonds Stadium,Geelong,Port Adelaide,129,104,1.11,6.53
10/08/13,MCG,Richmond,Brisbane,97,74,1.16,5.05
09/08/13,Etihad Stadium,St Kilda,Hawthorn,56,102,11.36,1.04
04/08/13,MCG,Collingwood,Essendon,133,54,1.86,1.92
04/08/13,AAMI Stadium,Adelaide,Port Adelaide,103,107,2.01,1.78
04/08/13,Etihad Stadium,Western Bulldogs,Sydney,99,134,7.73,1.08
03/08/13,Gabba,Brisbane,St Kilda,108,77,1.26,3.84
03/08/13,Etihad Stadium,Carlton,Fremantle,80,116,1.83,1.95
03/08/13,Domain Stadium,West Coast,Gold Coast,130,113,1.44,2.77
03/08/13,MCG,Hawthorn,Richmond,66,107,1.21,4.32
03/08/13,Spotless Stadium,GWS Giants,Melbourne,124,87,1.65,2.2
02/08/13,Etihad Stadium,North Melbourne,Geelong,96,86,3.35,1.32
28/07/13,SCG,Sydney,Richmond,110,63,1.27,3.68
28/07/13,Etihad Stadium,Western Bulldogs,West Coast,111,89,2.5,1.52
28/07/13,AAMI Stadium,Port Adelaide,Brisbane,71,62,1.38,3
27/07/13,Domain Stadium,Fremantle,Adelaide,75,53,1.25,3.87
27/07/13,Simonds Stadium,Geelong,St Kilda,137,36,1.07,8.27
27/07/13,MCG,Collingwood,GWS Giants,106,66,1.01,21.45
27/07/13,Etihad Stadium,Melbourne,North Melbourne,28,150,13.31,1.03
27/07/13,Metricon Stadium,Gold Coast,Carlton,77,120,2.82,1.42
26/07/13,Etihad Stadium,Essendon,Hawthorn,87,143,3.33,1.32
21/07/13,Domain Stadium,West Coast,Sydney,79,113,2.58,1.49
21/07/13,AAMI Stadium,Adelaide,Geelong,94,92,4.36,1.21
21/07/13,MCG,Richmond,Fremantle,84,57,1.7,2.11
20/07/13,TIO Stadium,Melbourne,Brisbane,75,94,3.96,1.25
20/07/13,Etihad Stadium,St Kilda,Port Adelaide,92,97,2.03,1.77
20/07/13,Metricon Stadium,Gold Coast,Collingwood,85,78,4.83,1.18
20/07/13,Spotless Stadium,GWS Giants,Essendon,77,116,17.22,1.01
20/07/13,Aurora Stadium,Hawthorn,Western Bulldogs,95,76,1.01,14.85
19/07/13,Etihad Stadium,North Melbourne,Carlton,108,109,1.65,2.21
14/07/13,Domain Stadium,West Coast,Fremantle,93,121,2.83,1.42
14/07/13,Etihad Stadium,Western Bulldogs,Essendon,90,121,7.25,1.09
14/07/13,SCG,Sydney,GWS Giants,171,42,1.01,19.92
13/07/13,Gabba,Brisbane,North Melbourne,117,105,2.82,1.43
13/07/13,Etihad Stadium,Carlton,St Kilda,110,74,1.36,3.12
13/07/13,Cazalyês Stadium,Richmond,Gold Coast,53,44,1.23,4.1
13/07/13,Simonds Stadium,Geelong,Melbourne,98,30,1.01,17.58
13/07/13,AAMI Stadium,Port Adelaide,Hawthorn,79,124,3.29,1.33
12/07/13,MCG,Collingwood,Adelaide,111,84,1.18,4.81
07/07/13,Etihad Stadium,Essendon,Port Adelaide,118,88,1.31,3.38
07/07/13,Domain Stadium,Fremantle,St Kilda,100,70,1.03,11.92
07/07/13,MCG,Melbourne,Sydney,85,116,14.84,1.02
06/07/13,AAMI Stadium,Adelaide,West Coast,69,75,1.59,2.33
06/07/13,MCG,Geelong,Hawthorn,82,72,2.25,1.63
06/07/13,Gabba,Brisbane,Gold Coast,116,83,1.29,3.63
06/07/13,Etihad Stadium,North Melbourne,Richmond,128,66,2.65,1.47
06/07/13,StarTrack Oval Canberra,GWS Giants,Western Bulldogs,83,87,4.31,1.21
05/07/13,MCG,Carlton,Collingwood,77,118,1.62,2.27
30/06/13,MCG,Richmond,St Kilda,119,55,1.19,4.61
30/06/13,Etihad Stadium,North Melbourne,GWS Giants,130,44,1.01,18.75
30/06/13,Aurora Stadium,Hawthorn,Brisbane,143,85,1.06,8.84
29/06/13,Simonds Stadium,Geelong,Fremantle,85,44,1.37,3.08
29/06/13,MCG,Melbourne,Western Bulldogs,103,100,4.29,1.22
29/06/13,AAMI Stadium,Port Adelaide,Collingwood,86,51,2.96,1.39
29/06/13,Metricon Stadium,Gold Coast,Adelaide,83,111,2.35,1.58
